SKU,WSlink,ThrLink,multiurl,multipack quantity,DeliveryPriceTHR90001,DeliveryPriceWS10001,DeliveryPriceTHR10001,DeliveryPriceWS90001,asin,item-name,price,estimated-referral-fee-per-item
THR-TRASH-CAN_8_white_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-32-qt-8-gallon-white-rectangular-step-on-trash-can/475TCSTR8WH.html,https://www.therestaurantstore.com/items/574138,No,,0,0,0,0,B0BXJYSS21,"Krollen Industrial 32 Qt. / 8 Gallon White Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",89.99,13.5
THR-TRASH-CAN_8_yellow_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-32-qt-8-gallon-yellow-rectangular-step-on-trash-can/475TCSTR8YL.html,https://www.therestaurantstore.com/items/574020,No,,0,0,0,0,B0BXJY32G8,"Krollen Industrial 32 Qt. / 8 Gallon Yellow Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",89.99,13.5
THR-TRASH-CAN_95_black_set_x4,https://www.webstaurantstore.com/lavex-95-gallon-black-wheeled-trash-can-with-step-on-attachment/475TCW95BKKT.html,https://www.therestaurantstore.com/items/593496,Yes,4.0,0,0,0,0,B0BW9NL2BP,Krollen Industrial 95 Gallon Black Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,759.99,114.0
THR-TRASH-CAN_95_blue_r_set_x4,https://www.webstaurantstore.com/lavex-janitorial-95-gallon-blue-wheeled-rectangular-recycle-bin-with-lid-and-step-on-attachment/475TCW95BRKT.html,https://www.therestaurantstore.com/items/593447,Yes,4.0,0,0,0,0,B0BW9NKFMR,Krollen Industrial 95 Gallon Blue Recycle Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,759.99,114.0
THR-TRASH-CAN_95_blue_set_x4,https://www.webstaurantstore.com/lavex-janitorial-95-gallon-blue-wheeled-rectangular-trash-can-with-lid-and-step-on-attachment/475TCW95BLKT.html,https://www.therestaurantstore.com/items/593515,Yes,4.0,0,0,0,0,B0BW9P1QCP,Krollen Industrial 95 Gallon Blue Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,759.99,114.0
THR-TRASH-CAN_95_gray_set_x4,https://www.webstaurantstore.com/lavex-95-gallon-gray-wheeled-trash-can-with-step-on-attachment/475TCW95GYKT.html,https://www.therestaurantstore.com/items/593555,Yes,4.0,0,0,0,0,B0BW9P8NWR,Krollen Industrial 95 Gallon Gray Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,759.99,114.0
THR-TRASH-CAN_95_green_set_x4,https://www.webstaurantstore.com/lavex-95-gallon-green-wheeled-trash-can-with-step-on-attachment/475TCW95GNKT.html,https://www.therestaurantstore.com/items/593546,Yes,4.0,0,0,0,0,B0BW9NW4CX,Krollen Industrial 95 Gallon Green Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,759.99,114.0
THR-TRASH-CAN_95_red_set_x4,https://www.webstaurantstore.com/lavex-95-gallon-red-wheeled-trash-can-with-step-on-attachment/475TCW95RDKT.html,https://www.therestaurantstore.com/items/593446,Yes,4.0,0,0,0,0,B0BW9M6682,Krollen Industrial 95 Gallon Red Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,819.99,123.0
THR-TRASH-CAN_95_yellow_set_x4,https://www.webstaurantstore.com/lavex-95-gallon-yellow-wheeled-trash-can-with-step-on-attachment/475TCW95YLKT.html,https://www.therestaurantstore.com/items/593556,Yes,4.0,0,0,0,0,B0BW9M2VRN,Krollen Industrial 95 Gallon Yellow Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,819.99,123.0
THR-MOP-KIT_26_yellow,https://www.webstaurantstore.com/lavex-janitorial-26-qt-yellow-mop-bucket-and-side-press-wringer-combo/274MBCKT26YL.html,https://www.therestaurantstore.com/items/572149,No,,0,0,0,0,B0BCCGBL7K,Krollen Industrial 26 Qt. Yellow Mop Bucket and Side Press Wringer Combo,99.99,15.0
